constructorId,constructorRef,name,nationality,url,own_engine
1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,N
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,Y
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,N
4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Y
5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,N
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Y
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,Y
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,N
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,N
10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,N
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,Y
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,N
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,N
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,N
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,N
16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,N
17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,N
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,N
19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,N
20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,N
21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,N
22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,N
23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,N
24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,N
25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,N
